id,ma,ten,nhom,mo_ta,thu_tu,created_at,updated_at,mau,merged_into,deactivated_at
a153132e-d70c-4710-9aa6-da8d57abdac8,DT_D017920A,Thu,chuc_nang,,1,2026-07-15 08:10:53.117005+00,2026-07-15 09:39:37.69984+00,xam,,
fb308e99-82db-4984-b770-85a0e3f1daea,DT_43AD522C,Phát,chuc_nang,,2,2026-07-15 08:10:53.117005+00,2026-07-15 09:39:37.69984+00,xam,,
d042fa55-38dd-47c3-898a-5d41d90eb7f9,DT_E942D297,Ghi âm,chuc_nang,,3,2026-07-15 08:10:53.117005+00,2026-07-15 09:39:37.69984+00,xam,,
7434b6c6-2db1-49e9-92dc-ce671e145e9d,DT_B1D275B1,Điều tần,chuc_nang,,4,2026-07-15 08:10:53.117005+00,2026-07-15 09:39:37.69984+00,xam,,
d5b41f10-6c4e-484d-9f37-458eb256e2f1,DT_5CB92C16,Khuếch đại,chuc_nang,,5,2026-07-15 08:10:53.117005+00,2026-07-15 09:39:37.69984+00,xam,,
c6894d40-a39d-412d-8289-a724ed8ba18c,DT_B0C92E87,Đo lường,chuc_nang,,6,2026-07-15 08:10:53.117005+00,2026-07-15 09:39:37.69984+00,xam,,
e389bb41-9ea1-4526-875d-cbc5214809d1,DT_3B353CC4,HF,chuc_nang,,2,2026-07-15 08:10:53.117005+00,2026-07-15 09:39:37.69984+00,xam,,
8aadbeaf-a7a0-4414-9e87-185e2446640c,DT_5D28EE71,UHF,chuc_nang,,3,2026-07-15 08:10:53.117005+00,2026-07-15 09:39:37.69984+00,xam,,
e5e72f2c-61af-44bb-b546-ecdb14cecc8e,DT_336248FA,Nguồn điện,chuc_nang,,2,2026-07-15 08:10:53.117005+00,2026-07-15 09:39:37.69984+00,xam,,
251d232a-e3e3-4bdd-a41a-426957700227,DT_0D4C1EEE,VHF,chuc_nang,,1,2026-07-15 08:10:53.117005+00,2026-07-15 09:58:32.701866+00,cham,,
a4214474-42ac-4f1c-8a20-7370a8a81fe1,DT_8410BF0A,Chống sét,chuc_nang,,1,2026-07-15 08:10:53.117005+00,2026-07-15 09:58:37.173122+00,ho_phach,,
