id,code,ten,mo_ta,thiet_bi_mode,active,version,require_signature,created_by,created_at,updated_at,nhom
2defc064-ce2b-4136-8cf0-1ffe20a66d59,BBNT-KT,Biên bản nghiệm thu kỹ thuật (sau sửa chữa),Biên bản nghiệm thu kỹ thuật thiết bị sau khi sửa chữa.,single,t,1,t,,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,bien_ban
4aba3c09-bfbb-405d-8085-0a9d6ad4e011,BBKT-KT,Biên bản kiểm tra kỹ thuật (trước sửa chữa),"Biên bản kiểm tra kỹ thuật thiết bị trước khi sửa chữa, kèm bảng yêu cầu vật tư.",single,t,1,t,,2026-07-08 15:38:01.001777+00,2026-07-08 15:38:01.001777+00,bien_ban
4ef59c30-34e4-41c2-a5d7-48f2df18c919,BC-TUAN-SC,Báo cáo tuần — Thống kê sự cố gián đoạn dịch vụ,Báo cáo tuần thống kê sự cố gián đoạn dịch vụ do đơn vị ngoài cung cấp.,none,t,1,t,,2026-07-08 15:38:01.152964+00,2026-07-08 15:38:01.152964+00,bien_ban
6bac4b31-81f4-47dd-a80c-92d53d130808,BC-TUAN-HH,Báo cáo tuần — Thống kê hỏng hóc trang thiết bị,Báo cáo tuần thống kê hỏng hóc các trang thiết bị kỹ thuật.,multi,t,1,t,,2026-07-08 15:38:01.302828+00,2026-07-08 15:38:01.302828+00,bien_ban
76377daa-015c-445f-a9f1-16aa40cb41d2,PL-KT-AWOS-03,PL03 - Bảo dưỡng AWOS (Quý),"Bao gồm PL01 và bổ sung vệ sinh môi trường, thiết bị ngoài trời.",none,t,1,t,,2026-07-13 05:27:56.672917+00,2026-07-13 05:27:56.672917+00,bao_duong
fc6d7fd7-c6e2-40ab-a2fe-41b8f7b195f8,PL-KT-AWOS-04,PL04 - Bảo dưỡng AWOS (Năm),"Bao gồm PL02 và PL03; bổ sung đo tiếp địa, hiệu chuẩn và đánh giá tổng hợp năm.",none,t,1,t,,2026-07-13 05:27:56.672917+00,2026-07-13 05:27:56.672917+00,bao_duong
7cf3cd9a-5fc9-4e5e-858d-6b117dbc3772,PL-BD-GK-01,Phiếu bảo dưỡng định kỳ thiết bị Ghép kênh,Mẫu bảo dưỡng định kỳ - seed từ biểu mẫu Word.,single,t,1,t,,2026-07-25 10:24:27.044481+00,2026-07-25 11:17:48.408629+00,Ghép kênh
721c368c-4517-45c6-bdab-6c77190d3448,BD_TEST,Phiếu bảo dưỡng TEST,,none,t,1,t,,2026-07-25 15:02:51.872149+00,2026-07-25 15:02:51.872149+00,bao_duong
50981e9f-257a-43cc-a822-3c2424fdf297,PL-KT-AWOS-01,PL01 - Bảo dưỡng AWOS (Ngày/Tuần),"Kiểm tra ngoại quan, nguồn và cảm biến khí tượng hệ thống AWOS PLK.",none,t,1,t,,2026-07-13 05:27:56.672917+00,2026-07-25 09:08:09.530488+00,bao_duong
38a35c49-a890-4163-8d45-003fedfc364d,PL-KTAWOS-01,Phiếu kiểm tra hệ thống AWOS 900 tại trạm (hàng tuần),Bảng kiểm tra định kỳ hàng tuần các cảm biến và tủ thiết bị AWOS 900 tại trạm.,single,t,1,t,,2026-07-25 09:27:37.787855+00,2026-07-25 09:27:37.787855+00,AWOS
0f3ea301-b21f-42c1-a3e0-8491d1aab401,PL-BD-VCCS-01,Phiếu bảo dưỡng định kỳ hệ thống VCCS (Frequentis VCS3020X),Mẫu bảo dưỡng định kỳ - seed từ biểu mẫu Word.,single,t,1,t,,2026-07-25 10:24:27.044481+00,2026-07-25 10:24:27.044481+00,VCCS
d88e7863-88f3-4e83-b313-efdbde6b5022,PL-BD-BODAM-01,Phiếu bảo dưỡng định kỳ thiết bị Bộ đàm,Mẫu bảo dưỡng định kỳ - seed từ biểu mẫu Word.,single,t,1,t,,2026-07-25 10:24:27.044481+00,2026-07-25 10:24:27.044481+00,Bộ đàm
ff82aa4e-0c3a-460a-bfe5-423e3d9c2ab9,PL-BD-VHF-01,Phiếu bảo dưỡng định kỳ thiết bị VHF,Mẫu bảo dưỡng định kỳ - seed từ biểu mẫu Word.,single,t,1,t,,2026-07-25 10:24:27.044481+00,2026-07-25 10:24:27.044481+00,VHF
c5c39c97-c432-49e0-9d5e-03bb981bd252,PL-BD-VIBA-01,Phiếu bảo dưỡng định kỳ thiết bị VIBA,Mẫu bảo dưỡng định kỳ - seed từ biểu mẫu Word.,single,t,1,t,,2026-07-25 10:24:27.044481+00,2026-07-25 10:24:27.044481+00,VIBA
109f5eb9-8d0f-49a0-8161-dee097fb9b62,PL-BD-VSAT-BUC-01,Phiếu bảo dưỡng định kỳ thiết bị VSAT BUC,Mẫu bảo dưỡng định kỳ - seed từ biểu mẫu Word.,single,t,1,t,,2026-07-25 10:24:27.044481+00,2026-07-25 10:24:27.044481+00,VSAT
f6e8ca17-95df-4d84-bfba-287444d3ae83,PL-BD-VSAT-RT-01,Phiếu bảo dưỡng định kỳ thiết bị VSAT Satellite Router,Mẫu bảo dưỡng định kỳ - seed từ biểu mẫu Word.,single,t,1,t,,2026-07-25 10:24:27.044481+00,2026-07-25 10:24:27.044481+00,VSAT
befe49ef-e82f-4084-936b-a0a84a7e8a73,PL-KT-AWOS-02,PL02 - Bảo dưỡng AWOS (Tháng),"Bảo dưỡng định kỳ tháng: đấu nối, nguồn, UPS, sao lưu cấu hình.",none,t,1,t,,2026-07-13 05:27:56.672917+00,2026-07-25 15:58:27.750055+00,bao_duong
4db20bf6-4e1f-4727-9787-465a7df32741,PL-BD-VSAT-SW-01,Phiếu bảo dưỡng định kỳ thiết bị VSAT Switch,Mẫu bảo dưỡng định kỳ - seed từ biểu mẫu Word.,single,t,1,t,,2026-07-25 10:24:27.044481+00,2026-07-26 05:03:51.309038+00,VSAT
a1c59d22-5938-407c-aedc-0dabd5e5385b,A,a,a,multi,t,1,t,,2026-07-23 10:18:29.997227+00,2026-08-20 10:03:05.505244+00,bao_duong
