id,du_an_id,event_type,entity_type,entity_id,title,summary,actor_id,occurred_at,metadata,source,external_request_id,created_at,metadata_hidden
88baeeb9-c69f-48a9-8d56-262d64f73e91,3814d66f-5c11-48f5-a396-feed48f22ab2,task_created,du_an_cong_viec,5175c542-ccac-408b-8a0e-41ffdc108a11,Công việc Khảo sát hiện trạng camera được tạo,Công việc Khảo sát hiện trạng camera được tạo,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
ee323c63-1bc9-48c1-8575-57f448f60ce2,3814d66f-5c11-48f5-a396-feed48f22ab2,milestone_updated,du_an_moc,75a4ef08-6fc2-4250-abef-fb090e3865a3,Mốc Giai đoạn 1 được cập nhật,Mốc Giai đoạn 1 được cập nhật,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
8e7f2f5e-40b0-4889-b92b-5abb5bc07cc1,3814d66f-5c11-48f5-a396-feed48f22ab2,project_updated,du_an,3814d66f-5c11-48f5-a396-feed48f22ab2,Dự án TCCS Camera giám sát được cập nhật,Dự án TCCS Camera giám sát được cập nhật,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
66b283e4-8fa3-459b-ab7c-c5013ecadf2f,3814d66f-5c11-48f5-a396-feed48f22ab2,task_created,du_an_cong_viec,38312af9-b363-4b83-8cb6-1385d6eb16d8,Công việc Lập hồ sơ TCCS được tạo,Công việc Lập hồ sơ TCCS được tạo,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
0bcd6ac6-e0d7-4323-bb74-2b5d2ff31708,3814d66f-5c11-48f5-a396-feed48f22ab2,milestone_updated,du_an_moc,75a4ef08-6fc2-4250-abef-fb090e3865a3,Mốc Giai đoạn 1 được cập nhật,Mốc Giai đoạn 1 được cập nhật,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
0652c9e2-deb7-47c8-8ec7-a456ce7638ad,3814d66f-5c11-48f5-a396-feed48f22ab2,project_updated,du_an,3814d66f-5c11-48f5-a396-feed48f22ab2,Dự án TCCS Camera giám sát được cập nhật,Dự án TCCS Camera giám sát được cập nhật,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
2c08d6a6-427d-4b6c-b40c-03c468420776,3814d66f-5c11-48f5-a396-feed48f22ab2,task_created,du_an_cong_viec,018e853c-44d7-4933-b398-af2c5f80ec6f,Công việc Lấy ý kiến các đơn vị được tạo,Công việc Lấy ý kiến các đơn vị được tạo,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
e22118bb-57a4-4c46-a8c3-cbd069f01914,3814d66f-5c11-48f5-a396-feed48f22ab2,milestone_updated,du_an_moc,75a4ef08-6fc2-4250-abef-fb090e3865a3,Mốc Giai đoạn 1 được cập nhật,Mốc Giai đoạn 1 được cập nhật,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
9daae574-9455-4d8d-ae37-b9fce6646f94,3814d66f-5c11-48f5-a396-feed48f22ab2,project_updated,du_an,3814d66f-5c11-48f5-a396-feed48f22ab2,Dự án TCCS Camera giám sát được cập nhật,Dự án TCCS Camera giám sát được cập nhật,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
0a1d5861-0e91-4c3a-a0df-32a626a7302a,3814d66f-5c11-48f5-a396-feed48f22ab2,task_created,du_an_cong_viec,33ae8c9a-87a3-4988-8cb9-229b2283e18b,Công việc Trình duyệt ban hành được tạo,Công việc Trình duyệt ban hành được tạo,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
d291b3b9-8c62-4fcd-b3ce-c9c1705aa21a,3814d66f-5c11-48f5-a396-feed48f22ab2,milestone_updated,du_an_moc,75a4ef08-6fc2-4250-abef-fb090e3865a3,Mốc Giai đoạn 1 được cập nhật,Mốc Giai đoạn 1 được cập nhật,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
1af7c294-b6c7-4a77-8001-5f301c373f22,3814d66f-5c11-48f5-a396-feed48f22ab2,project_updated,du_an,3814d66f-5c11-48f5-a396-feed48f22ab2,Dự án TCCS Camera giám sát được cập nhật,Dự án TCCS Camera giám sát được cập nhật,,2026-08-31 12:46:20.382217+00,,web,,2026-08-31 12:46:20.382217+00,f
